id,company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,active_status
849,Iron Ore of Canada,N/A,N/A,N/A,N/A,N/A,N/A,Labrador City,Newfoundland and Labrador,52.94122939,-66.91593509,1963,1988,N/A,N/A,N/A,N/A,Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
850,Camlaren Mines,N/A,N/A,N/A,N/A,N/A,N/A,Gordon Lake,Northwest Territories,62.9875,-113.2041667,1963,1963,1980,1981,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
851,Cliffs of Canada,Dofasco,Jones Laughlin Steel,Dominion Foundries and Steel,N/A,N/A,Adams,Kirkland Lake,Ontario,48.06926,-79.93457,1964,1990,N/A,N/A,N/A,N/A,Iron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
852,Willecho Mines,N/A,N/A,N/A,N/A,N/A,N/A,Manitouwadge,Ontario,49.18005,-85.888,1964,1976,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
853,Teck,Silverfields Mining,Canadaka Mines Cobalt Silver,Teck,N/A,N/A,Silverfields Division,Cobalt,Ontario,47.39509152,-79.68578198,1965,1983,N/A,N/A,N/A,N/A,Silver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
854,The Winnipeg Supply and Fuel,Steel Brother Canada,Marine Transport,Selkirk Silica,N/A,N/A,N/A,Black Island,Manitoba,51.20694155,-96.44856599,1965,1993,N/A,N/A,N/A,N/A,Silica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
855,Brynnor Mines,N/A,N/A,N/A,N/A,N/A,N/A,Boss Mountain,British Columbia,52.096666,-120.9075,1965,1983,N/A,N/A,N/A,N/A,Molybdenum,Copper,Zinc,Tungsten,Silver,Bismuth,Rhenium,N/A,False
856,Canadian Jamieson Mines,N/A,N/A,N/A,N/A,N/A,N/A,Timmins,Ontario,48.53393,-81.56071,1966,1971,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
857,Red Mountain Mines,N/A,N/A,N/A,N/A,N/A,N/A,Rossland,British Columbia,49.089721,-117.82777,1966,1971,N/A,N/A,N/A,N/A,Molybdenum,Copper,Tungsten,Gold,N/A,N/A,N/A,N/A,False
858,Kalium Chemicals,PPG Industries Canada,N/A,N/A,N/A,N/A,Kalium Chemicals Division,Belle Plaine,Saskatchewan,50.39373442,-105.1557625,1966,2022,N/A,N/A,N/A,N/A,Potash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
859,Granisle Copper,Zapata Granby,N/A,N/A,N/A,N/A,N/A,Granisle,British Columbia,54.944444,-126.15722,1966,1982,N/A,N/A,N/A,N/A,Copper,Silver,Gold,Molybdenum,N/A,N/A,N/A,N/A,False
860,Thomas Brogan Son,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nova Scotia,46.31704363,-60.30067648,1967,1993,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
861,Evans Coal Mines,Pioneer Coal and Thorburn,N/A,N/A,N/A,N/A,Evans or St. Rose,St. Rose  (Inverness),Nova Scotia,46.33443215,-61.20440514,1967,1992,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
862,Tribag Mining,N/A,N/A,N/A,N/A,N/A,N/A,Batchawana Bay,Ontario,47.08586,-84.50815,1967,1974,N/A,N/A,N/A,N/A,Copper,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
863,Anglo American Molybdenite Mining,N/A,N/A,N/A,N/A,N/A,N/A,Cadillac,Quebec,48.21218624,-78.47988967,1967,1968,N/A,N/A,N/A,N/A,Molybdenum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
864,Munro Copper Mines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ontario,48.59931,-80.21119,1967,1970,N/A,N/A,N/A,N/A,Nickel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
865,Saskatchewan Minerals,Kam Kotia Mines,Dickenson Mines,N/A,N/A,N/A,N/A,Fox Valley,Saskatchewan,50.35664,-109.3219499,1967,2001,N/A,N/A,N/A,N/A,Sodium Sulphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
866,BACM,N/A,N/A,N/A,N/A,N/A,N/A,Amaranth,Manitoba,50.56111111,-98.72083333,1967,1970,N/A,N/A,N/A,N/A,Gypsum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
867,International Minerals and Chemical,International Minerals Chemical,N/A,N/A,N/A,N/A,K2,Esterhazy,Saskatchewan,50.68298991,-101.8498299,1967,2022,N/A,N/A,N/A,N/A,Potash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
868,Allan Potash Mines,APM Operators,N/A,N/A,N/A,N/A,Allan Potashs,Allan,Saskatchewan,51.936923,-106.0871614,1968,2022,N/A,N/A,N/A,N/A,Potash,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
869,Cardinal River Coals,Teck Resources,N/A,N/A,N/A,N/A,Cardinal River (Cheviot),Luscar and Hinton,Alberta,53.10082201,-117.4407696,1968,2022,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
