id,company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,active_status
930,Golden Bear Operating,North American Metal,N/A,N/A,N/A,N/A,Golden Bear,Telegraph Creek,British Columbia,58.210833,-132.29361,1990,2000,N/A,N/A,N/A,N/A,Gold,Silver,Copper,Antimony,N/A,N/A,N/A,N/A,False
931,BP Ressources Canada,Lhoist,N/A,N/A,N/A,N/A,N/A,Fort Langley,British Columbia,49.18965861,-122.6605992,1991,2022,N/A,N/A,N/A,N/A,Lime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
932,Continental Lime,Graymont Western Canada,N/A,N/A,N/A,N/A,N/A,Exshaw,Alberta,51.07138943,-115.1351986,1991,2022,N/A,N/A,N/A,N/A,Lime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
933,Cominco,Prime Resources Group,N/A,N/A,N/A,N/A,Snip,Iskut River,British Columbia,56.66861,-131.10888,1991,1999,N/A,N/A,N/A,N/A,Gold,Silver,Zinc,Copper,Lead,N/A,N/A,N/A,False
934,Curragh Resources,N/A,N/A,N/A,N/A,N/A,Sa Dena Hes,Watson Lake,Yukon,60.54777778,-128.8788889,1991,1992,N/A,N/A,N/A,N/A,Lead,Zinc,N/A,N/A,N/A,N/A,N/A,N/A,False
935,Red Deer Silica,N/A,N/A,N/A,N/A,N/A,N/A,Hudson Bay,Saskatchewan,52.98583,-101.7440383,1993,2022,N/A,N/A,N/A,N/A,Silica,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
936,Granduc Mining,Black Hawk Mining,N/A,N/A,N/A,N/A,BT,Lynn Lake,Manitoba,56.85108769,-101.055681,1993,1996,N/A,N/A,N/A,N/A,Gold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
937,Uniquartz,N/A,N/A,N/A,N/A,N/A,N/A,St. Jean Vianney,Quebec,48.624195,-67.332241,1994,2000,N/A,N/A,N/A,N/A,Quartz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
938,Teck,N/A,N/A,N/A,N/A,N/A,Afton-Ajax,Kamloops,British Columbia,50.608055,-120.40444,1994,1997,N/A,N/A,N/A,N/A,Copper,Gold,Silver,Molybdenum,N/A,N/A,N/A,N/A,False
939,Candorado Mines,N/A,N/A,N/A,N/A,N/A,Mascot,Hedley,British Columbia,49.365,-120.06694,1995,1995,N/A,N/A,N/A,N/A,Gold,Silver,N/A,N/A,N/A,N/A,N/A,N/A,False
940,Hudson Bay Mining and Smelting,N/A,N/A,N/A,N/A,N/A,Photo Lake,Snow Lake,Manitoba,54.85972222,-100.1027778,1995,1998,N/A,N/A,N/A,N/A,Copper,Zinc,Gold,Silver,N/A,N/A,N/A,N/A,False
941,Thorburn Mining,Pictou County Research and Development Commission,Pioneer Coal,N/A,N/A,N/A,Stellarton,Stellarton,Nova Scotia,45.55512033,-62.55392993,1996,2019,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
942,Imperial Metals Mitsubishi Materials Marubeni Dowa Mining and Furukawa,Teck Resources,Huckleberry Mines,N/A,N/A,N/A,Huckleberry,Kemano,British Columbia,53.68111,-127.17805,1997,2016,N/A,N/A,N/A,N/A,Copper,Molybdenum,Silver,Gold,N/A,N/A,N/A,N/A,False
943,BHP Diamonds,Dia Met Minerals,Charles Fipke and Stewart Blusson,Arctic Canadian Diamond Company,N/A,N/A,Panda (Ekati Project),Lac de Gras,Northwest Territories,64.71666667,-110.6083333,1997,2022,N/A,N/A,N/A,N/A,Diamond,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
944,Magnola Magnesium,Society generale de financement du Quebec,N/A,N/A,N/A,N/A,Ardorbec,Danville,Quebec,45.748462,-71.961305,1998,2022,N/A,N/A,N/A,N/A,Magnesium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True
945,Canadian Johns Manville,Asbestos,N/A,N/A,N/A,N/A,Jeffrey,Asbestos (Val-des-Sources),Quebec,45.7751,-71.9476,1879,2009,N/A,N/A,N/A,N/A,Chrysotile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
946,Crows Nest Pass Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,British Columbia,49.65448068,-114.7145444,1897,1978,N/A,N/A,N/A,N/A,Coal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
